,DATE,SENTIMENT,IMPACT_SCORE
294,2021/8/29,negative,-0.9074067
295,2021/8/19,neutral,0.38301802
296,2021/8/26,neutral,0.055137444
297,2021/9/4,neutral,0.21594454
298,2021/8/10,positive,0.92545074
299,2021/8/31,negative,-0.8603717
300,2021/8/7,neutral,-0.18945917
301,2021/8/18,neutral,0.025066635
302,2021/8/11,neutral,0.0072166882
303,2021/9/28,neutral,0.14022367
304,2021/9/14,neutral,0.09203613
305,2021/9/9,neutral,0.08091331
306,2021/9/8,neutral,0.37096655
307,2021/10/4,positive,0.9021836
308,2021/10/6,negative,-0.8797245
309,2021/9/30,positive,0.62500125
310,2021/9/9,neutral,0.15705283
311,2021/9/21,negative,-0.6838909
312,2021/9/29,negative,-0.9367374
313,2021/10/1,neutral,0.1176874
314,2021/9/21,neutral,0.12037243
315,2021/9/14,negative,-0.9287117
316,2021/9/9,neutral,0.004674662
317,2021/9/15,positive,0.557365
318,2021/9/10,neutral,0.21332024
319,2021/9/13,positive,0.33331564
320,2021/9/24,neutral,0.34096947
321,2021/9/10,negative,-0.80276036
322,2021/9/9,positive,0.78084624
323,2021/10/1,neutral,0.048195653
324,2021/9/9,neutral,0.095967755
325,2021/9/8,neutral,-0.016888473
326,2021/9/22,positive,0.51009464
327,2021/9/19,neutral,0.016441027
328,2021/9/21,neutral,0.19258827
329,2021/9/30,negative,-0.6741516
330,2021/10/5,positive,0.58439803
331,2021/9/15,neutral,0.13747196
332,2021/9/14,positive,0.8239948
333,2021/9/15,neutral,0.001272777
334,2021/9/27,neutral,0.03090267
335,2021/10/5,neutral,0.21913616
336,2021/9/23,neutral,-0.27108273
337,2021/9/30,neutral,0.045754254
338,2021/9/20,neutral,0.09195501
339,2021/9/14,neutral,0.010821172
340,2021/9/14,neutral,-0.028149327
341,2021/9/19,neutral,0.031200033
342,2021/9/7,neutral,-0.34836534
343,2021/10/28,negative,-0.9592339
344,2021/10/18,negative,-0.68974215
345,2021/10/18,negative,-0.67197543
346,2021/10/21,negative,-0.7817712
347,2021/11/2,neutral,0.103829354
348,2021/10/11,neutral,-0.09013661
349,2021/10/13,negative,-0.54036885
350,2021/11/2,neutral,0.06583539
351,2021/11/1,neutral,0.035731334
352,2021/11/1,neutral,-0.06984624
353,2021/10/12,neutral,-0.07037808
354,2021/10/29,neutral,0.046503752
355,2021/10/26,positive,0.8529546
356,2021/10/19,neutral,0.38353878
357,2021/10/27,neutral,0.2242453
358,2021/10/28,neutral,0.17302579
359,2021/10/28,negative,-0.9542679
360,2021/10/25,negative,-0.9570774
361,2021/11/4,positive,0.7784217
362,2021/10/19,negative,-0.915776
363,2021/10/15,positive,0.731354
364,2021/10/8,neutral,0.0782717
365,2021/10/20,negative,-0.9495287
366,2021/10/28,neutral,0.16555384
367,2021/10/28,negative,-0.9506679
368,2021/10/28,negative,-0.9670736
369,2021/11/1,neutral,-0.21706975
370,2021/10/28,neutral,0.013656827
371,2021/10/29,neutral,0.08262555
372,2021/10/22,neutral,-0.27282822
373,2021/10/29,negative,-0.9631742
374,2021/10/29,positive,0.9070979
375,2021/12/7,negative,-0.9614621
376,2021/11/30,positive,0.8335621
377,2021/11/29,neutral,-0.07456187
378,2021/11/26,negative,-0.91651064
379,2021/11/17,negative,-0.91356635
380,2021/11/19,negative,-0.8520925
381,2021/11/15,negative,-0.886369
382,2021/11/18,neutral,0.093346305
383,2021/11/10,positive,0.9323239
384,2021/11/30,positive,0.50667334
385,2021/11/29,positive,0.8818076
386,2021/12/4,neutral,0.004484415
387,2021/11/19,neutral,0.43405342
388,2021/11/30,negative,-0.7994896
389,2021/11/15,positive,0.8504854
390,2021/11/24,negative,-0.9201261
391,2021/11/13,positive,0.85403746
392,2021/11/13,positive,0.9291212
393,2021/11/11,negative,-0.30298537
394,2021/11/17,neutral,0.017957253
395,2021/11/14,positive,0.7242981
396,2021/11/22,neutral,0.17551188
397,2021/12/13,negative,-0.9459903
398,2021/12/9,negative,-0.10848242
399,2021/12/29,neutral,0.014919002
400,2021/12/22,neutral,0.11332034
401,2022/1/5,neutral,0.08085932
402,2021/12/17,neutral,0.07570964
403,2021/12/20,negative,-0.9033458
404,2021/12/22,negative,-0.9424611
405,2021/12/15,neutral,0.16518125
406,2022/1/5,negative,-0.9623331
407,2021/12/30,negative,-0.8176531
408,2021/12/14,positive,0.6550113
409,2022/1/7,negative,-0.3397681
410,2021/12/22,negative,-0.90620905
411,2022/1/5,negative,-0.96787095
412,2022/1/6,neutral,0.023332877
413,2021/12/23,neutral,-0.292297
414,2022/1/6,neutral,-0.011111733
415,2022/1/7,neutral,0.02947874
416,2021/12/23,neutral,-0.007446083
417,2021/1/6,neutral,0.41631576
418,2021/1/4,negative,-0.6573302
419,2021/1/20,positive,0.8630814
420,2021/1/26,positive,0.7366027
421,2021/1/19,positive,0.74454135
422,2021/1/14,negative,-0.9269802
423,2021/1/7,neutral,0.13696058
424,2021/1/5,positive,0.6485547
425,2021/1/11,neutral,0.02974665
426,2021/1/15,neutral,0.41230404
427,2021/1/11,positive,0.883763
428,2021/1/4,neutral,0.07982176
429,2021/1/12,positive,0.93703914
430,2021/1/28,neutral,0.14564282
431,2021/1/23,neutral,0.27534276
432,2021/1/8,neutral,0.12894773
433,2021/1/4,neutral,0.05225245
434,2021/1/14,neutral,-0.00745422
435,2021/1/29,neutral,0.09497012
436,2021/1/20,positive,0.8208785
437,2021/1/29,neutral,0.09497012
438,2021/1/26,neutral,0.031219086
439,2021/1/11,neutral,0.054985065
440,2021/1/29,positive,0.51520187
441,2021/1/28,neutral,-0.3500905
442,2021/1/19,neutral,0.34165454
443,2021/1/27,neutral,0.118416786
444,2021/1/31,neutral,0.04305207
445,2021/1/12,neutral,-0.08570401
446,2021/1/14,neutral,0.063330725
447,2021/1/12,neutral,0.08043022
448,2021/1/22,neutral,0.09044028
449,2021/2/3,positive,0.4908924
450,2021/2/2,neutral,0.066292055
451,2021/2/9,negative,-0.86800873
452,2021/2/2,negative,-0.0762406
453,2021/2/5,neutral,-0.0050340523
454,2021/2/18,neutral,0.31354085
455,2021/2/4,neutral,0.3960551
456,2021/3/3,negative,-0.8101569
457,2021/2/8,neutral,0.20899928
458,2021/2/9,positive,0.9239521
459,2021/2/3,neutral,0.12359525
460,2021/2/9,positive,0.89004767
461,2021/3/1,positive,0.6000118
462,2021/3/3,neutral,0.1363769
463,2021/2/9,neutral,0.15470517
464,2021/2/5,positive,0.44265386
465,2021/3/1,neutral,-0.2958483
466,2021/2/11,positive,0.8956513
467,2021/3/1,neutral,0.039476253
468,2021/2/26,neutral,0.3885664
469,2021/2/16,neutral,-0.21364307
470,2021/3/3,neutral,0.30794817
471,2021/3/4,neutral,0.035234302
472,2021/2/24,negative,-0.51435876
473,2021/2/15,neutral,-0.007181745
474,2021/2/18,neutral,0.16995338
475,2021/2/23,neutral,0.10421409
476,2021/2/26,neutral,0.115796655
477,2021/2/26,neutral,0.07666978
478,2021/2/9,positive,0.6651281
479,2021/2/5,neutral,-0.010352436
480,2021/2/20,neutral,0.12928636
481,2021/2/11,neutral,0.11287978
482,2021/3/1,positive,0.8224309
483,2021/3/24,neutral,0.32331955
484,2021/4/1,neutral,-0.07117683
485,2021/3/23,neutral,0.11760413
486,2021/3/12,neutral,-0.17202477
487,2021/3/26,neutral,0.12649228
488,2021/3/17,neutral,-0.031815533
489,2021/3/9,negative,-0.911469
490,2021/3/22,neutral,0.096736275
491,2021/3/31,neutral,0.45964965
492,2021/3/15,neutral,0.04797226
493,2021/4/1,neutral,0.03151122
494,2021/3/26,neutral,0.47692525
495,2021/3/22,positive,0.68363374
496,2021/3/20,positive,0.79953295
497,2021/3/31,neutral,0.21976796
498,2021/3/26,positive,0.88131356
499,2021/3/29,neutral,0.30010885
500,2021/3/19,negative,-0.39471272
501,2021/3/31,neutral,0.121989496
502,2021/3/25,neutral,-0.12510714
503,2021/3/4,neutral,0.035234302
504,2021/3/23,negative,-0.89886427
505,2021/3/16,positive,0.90013826
506,2021/3/12,neutral,0.2486006
507,2021/3/26,neutral,0.09871456
508,2021/3/7,negative,-0.5045128
509,2021/3/11,neutral,0.2664791
510,2021/3/24,neutral,0.45890504
511,2021/4/4,neutral,0.02990869
512,2021/4/29,positive,0.93031603
513,2021/4/15,neutral,0.28652424
514,2021/5/3,neutral,0.06370797
515,2021/4/22,neutral,0.025552385
516,2021/4/11,positive,0.69997805
517,2021/4/29,positive,0.6467283
518,2021/4/14,neutral,0.43738618
519,2021/4/21,positive,0.5744506
520,2021/5/5,neutral,0.017225789
521,2021/4/26,positive,0.9189715
522,2021/4/20,neutral,0.11959617
523,2021/4/26,neutral,0.07779123
524,2021/4/16,neutral,0.09793976
525,2021/4/29,positive,0.9252385
526,2021/4/25,neutral,0.1789979
527,2021/4/30,neutral,0.16740781
528,2021/4/25,neutral,0.001557678
529,2021/4/30,neutral,0.18952224
530,2021/4/29,positive,0.8378441
531,2021/4/9,neutral,0.0063442057
532,2021/4/12,neutral,0.06356277
533,2021/5/1,neutral,-0.14122385
534,2021/4/8,neutral,0.008531952
535,2021/4/5,neutral,0.118478775
536,2021/4/16,neutral,0.46632886
537,2021/4/20,neutral,0.24011454
538,2021/4/7,neutral,0.32711044
539,2021/4/22,neutral,0.061035678
540,2021/5/1,neutral,0.11569296
541,2021/4/7,neutral,0.17300715
542,2021/4/14,neutral,-0.09680589
543,2021/4/16,neutral,0.15155052
544,2021/5/4,negative,-0.85726464
545,2021/4/20,neutral,-0.007646375
546,2021/5/26,neutral,0.352863
547,2021/6/1,neutral,-0.13103655
548,2021/5/18,negative,-0.6131599
549,2021/5/27,neutral,0.058836147
550,2021/5/11,neutral,0.025287855
551,2021/5/21,neutral,0.02488867
552,2021/5/19,negative,-0.92904997
553,2021/5/14,neutral,0.07739627
554,2021/5/24,neutral,0.060738623
555,2021/5/25,neutral,-0.043742187
556,2021/5/5,neutral,0.017225789
557,2021/5/29,neutral,0.15851746
558,2021/5/31,neutral,-0.019479183
559,2021/6/1,positive,0.930833
560,2021/5/17,neutral,0.042455364
561,2021/6/1,positive,0.8749648
562,2021/5/20,positive,0.8936776
563,2021/5/27,positive,0.6063567
564,2021/5/10,neutral,0.055414923
565,2021/5/14,positive,0.9386047
566,2021/5/30,neutral,-0.00087236054
567,2021/5/23,neutral,0.25952008
568,2021/5/9,neutral,0.106921025
569,2021/5/24,neutral,-0.17084989
570,2021/5/15,positive,0.6912926
571,2021/5/12,positive,0.6978558
572,2021/6/1,neutral,-0.06169777
573,2021/5/16,neutral,0.008306316
574,2021/5/10,positive,0.9396555
575,2021/6/1,positive,0.9074682
576,2021/5/6,neutral,0.064608485
577,2021/5/25,neutral,0.035236202
578,2021/5/19,negative,-0.7354588
579,2021/5/19,neutral,0.2144282
580,2021/5/17,negative,-0.6123585
581,2021/5/10,neutral,0.40170184
582,2021/5/13,neutral,0.1468595
583,2021/5/10,neutral,0.27554622
584,2021/5/16,positive,0.5240958
585,2021/5/10,neutral,0.084730715
586,2021/5/21,neutral,-0.07327042
587,2021/5/12,neutral,0.29929852
588,2021/5/14,neutral,0.3209871
589,2021/5/19,positive,0.4773713
590,2021/5/13,neutral,-0.06535299
591,2021/7/5,neutral,-0.111917816
592,2021/7/6,negative,-0.818232
593,2021/6/20,neutral,0.055003177
594,2021/7/2,neutral,-0.03110721
595,2021/6/25,negative,-0.91806185
596,2021/6/16,positive,0.81447196
597,2021/6/7,neutral,-0.0007474646
598,2021/6/6,neutral,0.07994417
599,2021/6/11,neutral,0.20986949
600,2021/6/10,neutral,0.019331433
601,2021/6/20,positive,0.8976147
602,2021/6/24,neutral,0.047110785
603,2021/6/29,neutral,-0.047765695
604,2021/6/9,neutral,-0.27990228
605,2021/6/21,neutral,0.050377823
606,2021/6/14,neutral,0.21442266
607,2021/6/30,neutral,0.37106356
608,2021/6/22,neutral,-0.29282627
609,2021/6/30,positive,0.61206317
610,2021/7/2,neutral,0.11163135
611,2021/6/22,neutral,0.10043405
612,2021/6/30,neutral,0.4131466
613,2021/6/22,neutral,0.46678588
614,2021/6/8,negative,-0.9546861
615,2021/7/1,neutral,0.19963239
616,2021/6/25,neutral,0.09925643
617,2021/6/13,neutral,0.00018448757
618,2021/6/22,neutral,0.02438162
619,2021/6/17,neutral,0.105487905
620,2021/6/21,neutral,0.08365393
621,2021/6/14,negative,-0.601484
622,2021/6/14,neutral,-0.03290093
623,2021/6/13,positive,0.58960825
624,2021/7/2,positive,0.50407344
625,2021/6/11,negative,-0.9096479
626,2021/6/10,positive,0.9182065
627,2021/6/11,neutral,0.040168777
628,2021/6/29,neutral,0.18991259
629,2021/7/6,positive,0.5577748
630,2021/6/24,neutral,-0.106812365
631,2021/6/21,neutral,0.047162812
632,2021/7/5,neutral,0.03498043
633,2021/6/28,neutral,-0.01193917
634,2021/6/10,neutral,0.40439823
635,2021/7/6,negative,-0.818232
636,2021/7/30,negative,-0.93575263
637,2021/7/26,positive,0.92083967
638,2021/7/30,negative,-0.96290183
639,2021/7/15,neutral,0.07338682
640,2021/7/29,neutral,0.15154848
641,2021/8/5,neutral,0.011888891
642,2021/7/22,neutral,0.24448109
643,2021/7/10,positive,0.92840934
644,2021/7/25,negative,-0.4399992
645,2021/7/21,neutral,-0.22347033
646,2021/7/23,neutral,0.33045906
647,2021/7/11,neutral,0.08995271
648,2021/7/9,neutral,0.11801354
649,2021/8/6,negative,-0.59815603
650,2021/7/26,neutral,0.007159276
651,2021/7/7,neutral,0.019672243
652,2021/7/22,positive,0.6322752
653,2021/7/27,neutral,0.041811038
654,2021/8/1,neutral,0.08152881
655,2021/7/15,neutral,0.12899044
656,2021/7/16,neutral,0.40748286
657,2021/8/2,neutral,0.020788826
658,2021/7/19,neutral,0.4481855
659,2021/7/6,positive,0.5577748
660,2021/7/19,neutral,0.04391215
661,2021/7/16,neutral,0.13489681
662,2021/8/19,neutral,0.060610548
663,2021/8/27,negative,-0.91763467
664,2021/8/10,neutral,0.04645717
665,2021/9/5,neutral,0.1416287
666,2021/9/2,neutral,0.4227139
667,2021/8/30,neutral,0.038816202
668,2021/8/16,neutral,-0.0005391985
669,2021/8/17,neutral,0.010965418
670,2021/9/1,positive,0.83976364
671,2021/8/18,neutral,0.12666851
672,2021/9/29,neutral,0.03618602
673,2021/9/14,positive,0.91166496
674,2021/9/10,positive,0.525902
675,2021/10/6,positive,0.9320505
676,2021/10/5,neutral,0.10912384
677,2021/9/29,negative,-0.48877442
678,2021/10/2,neutral,0.16355559
679,2021/10/5,neutral,0.40834275
680,2021/9/22,neutral,0.07660777
681,2021/9/22,neutral,0.09287551
682,2021/9/13,neutral,0.38275963
683,2021/9/23,positive,0.7677716
684,2021/9/9,neutral,0.046945058
685,2021/9/8,neutral,0.20751019
686,2021/10/6,neutral,-0.035725303
687,2021/9/24,neutral,0.052362613
688,2021/9/28,positive,0.74480236
689,2021/9/27,neutral,-0.20414992
690,2021/9/17,neutral,0.3758969
691,2021/9/30,neutral,0.084984034
692,2021/9/13,positive,0.66919684
693,2021/9/20,neutral,0.12666458
694,2021/9/12,neutral,0.023423325
695,2021/9/9,neutral,0.03877256
696,2021/9/20,neutral,0.47801417
697,2021/9/22,neutral,0.06426959
698,2021/9/21,negative,-0.4127482
699,2021/9/12,positive,0.8325909
700,2021/10/5,neutral,0.07351683
701,2021/9/20,neutral,0.25196934
702,2021/9/24,neutral,0.014553367
703,2021/10/25,neutral,0.034140784
704,2021/10/28,negative,-0.95461184
705,2021/10/13,negative,-0.89650315
706,2021/11/1,positive,0.7928846
707,2021/10/11,neutral,0.0011012405
708,2021/10/25,neutral,0.055809867
709,2021/10/25,neutral,0.10703671
710,2021/10/18,neutral,0.073851295
711,2021/10/14,negative,-0.8416831
712,2021/11/5,neutral,0.014553367
713,2021/11/4,neutral,0.0016560705
714,2021/11/1,neutral,0.07387438
715,2021/10/21,positive,0.90109223
716,2021/10/30,negative,-0.9524666
717,2021/10/8,neutral,-0.13776402
718,2021/10/26,neutral,0.063135944
719,2021/11/4,neutral,0.113323614
720,2021/11/1,neutral,-0.15453768
721,2021/11/1,neutral,0.11976781
722,2021/10/19,neutral,0.08272877
723,2021/10/14,negative,-0.6548465
724,2021/10/27,neutral,0.023750303
725,2021/10/25,neutral,-0.09869879
726,2021/10/27,neutral,0.095699586
727,2021/10/18,positive,0.91460496
728,2021/10/28,neutral,0.3099542
729,2021/10/25,negative,-0.9071658
730,2021/10/29,neutral,0.18861835
731,2021/12/1,neutral,0.0015882663
732,2021/11/26,negative,-0.95760125
733,2021/12/7,negative,-0.95111525
734,2021/11/25,neutral,-0.19089311
735,2021/11/18,neutral,0.09127946
736,2021/12/7,positive,0.5171249
