,Title,DATE,SENTIMENT,IMPACT_SCORE
44,DigitalOcean emphasizes simplicity in IPO filing as it prepares to battle cloud giants like Amazon,2021/3/15,neutral,0.051258307
45,"At least 30,000 organizations newly hacked via Microsoft ...",2021/3/5,negative,-0.9280067
46,Microsoft takes advantage of antitrust spotlight on rivals to go hunting for large acquisitions,2021/4/12,neutral,0.14250302
47,Microsoft (MSFT) earnings Q3 2021,2021/4/27,negative,-0.9622071
48,Messaging platform Discord reportedly ends sale talks with Microsoft,2021/4/21,neutral,0.0060749985
49,Microsoft's 'Netflix-for-gaming' service launches on iPhone and PC this week,2021/4/19,neutral,0.07734662
50,Microsoft will match Epic and share more money with video game makers,2021/4/29,neutral,0.17326584
51,Microsoft is sharing previously secret information to help cloud customers save energy,2021/4/20,neutral,0.12949204
52,Microsoft studied worker brains during endless meetings. The results are stressful,2021/4/20,neutral,0.29984826
53,Microsoft is rolling out a new default font to 1.2 billion Office users after 14 years — and the designer of the old one is surprised,2021/5/3,neutral,0.074879974
54,"Microsoft says LinkedIn topped $3 billion in ad revenue in the last year, outpacing Snap and Pinterest",2021/4/27,positive,0.9098726
55,Stock market cage match: Traders on whether Apple or Microsoft is the better buy,2021/4/8,positive,0.8375532
56,"Facebook, Alphabet and Microsoft shares soar to all-time highs",2021/4/5,positive,0.8451417
57,"Stocks making the biggest moves after the bell: Microsoft, Starbucks, Alphabet, Pinterest & more",2021/4/27,negative,-0.96136796
58,Longtime venture capitalist Ann Winblad says this is the tech ...,2021/4/29,positive,0.6062848
59,Sony launches PlayStation 5 console in China ahead of Microsoft's Xbox,2021/4/29,neutral,0.15680803
60,CNBC Exclusive: CNBC Transcript: Microsoft CEO Satya Nadella and Nuance Communications CEO Mark Benjamin Speak with CNBC's “Squawk on the Street” Today,2021/4/12,neutral,-0.029345434
61,Microsoft reportedly investigated Bill Gates for a prior romantic relationship before he left the board,2021/5/17,negative,-0.63685244
62,Microsoft to unveil new version of Windows on June 24,2021/6/2,positive,0.89591223
63,Microsoft starts to roll out Windows 10 update focused on quality,2021/5/18,neutral,0.25207016
64,Microsoft CEO Nadella says power in the workplace is not to ...,2021/5/21,negative,-0.7893937
65,"Russian hackers launch major cyberattack through U.S. aid agency's email system, Microsoft says",2021/5/28,negative,-0.9004844
66,Microsoft CEO Satya Nadella teases big Windows update at Build,2021/5/25,neutral,0.05546032
67,Microsoft reveals changes it's made to enable its employees to work both at home and in the office,2021/5/24,positive,0.55871004
68,Microsoft's cloud boss says the company doesn't want to ...,2021/5/25,positive,0.90048987
69,Discord CEO on reported Microsoft bid: 'We did receive a lot of offers.',2021/5/25,neutral,0.060840543
70,Microsoft pushes into the growing grocery tech market with a new deal in China,2021/5/20,positive,0.8648792
71,Former Microsoft executive Kevin Turner resigns as CEO of crypto mining company Core Scientific,2021/5/19,neutral,-0.3097507
72,Microsoft portrays itself as the anti-Apple: 'The world needs a more open platform',2021/6/24,neutral,0.12519425
73,Microsoft is developing new hardware to bring its 'Netflix for games' service to TVs,2021/6/10,neutral,0.21246062
74,Microsoft CEO Satya Nadella named chairman of the board,2021/6/16,neutral,-0.0060164053
75,Microsoft vs. Apple: Traders debate which $2 trillion stock is the better bet,2021/6/24,positive,0.5182455
76,Top Judiciary Republican takes aim at Microsoft as Congress considers new antitrust bills,2021/6/21,neutral,0.068970695
77,Microsoft and OpenAI have a new A.I. tool that will give coding suggestions to software developers,2021/6/29,positive,0.7285195
78,"At E3 gaming event, Microsoft teases sci-fi epic Starfield while Ubisoft shows off new Avatar title",2021/6/14,positive,0.50454646
79,"Microsoft employees slept in data centers during pandemic lockdown, exec says",2021/6/13,negative,-0.84336996
80,Microsoft's gaming head on video game ecosystem,2021/6/14,neutral,0.1449801
81,"U.S., NATO and EU to blame China for cyberattack on Microsoft Exchange servers",2021/7/19,negative,-0.7478486
82,"Microsoft will require vaccinations for U.S. workers, vendors and office visitors",2021/8/3,neutral,-0.05218053
83,How Microsoft has kept Windows on top for two decades,2021/7/10,negative,-0.81787324
84,Microsoft agrees to buy security software provider RiskIQ,2021/7/12,positive,0.9083827
85,"Stocks making the biggest moves after hours: Alphabet, Microsoft, Apple and more",2021/7/27,negative,-0.95980406
86,Microsoft rolls out Windows 11 update with Teams chat built in,2021/7/20,neutral,0.012589259
87,Microsoft is in talks to invest in Indian budget hotel start-up Oyo,2021/7/30,neutral,-0.2771992
88,Microsoft gets new Street-high price target from Citi. Why one trader says 'it's a staple within your portfolio',2021/7/23,positive,0.6099356
89,YouTubers are making a living on videos about Microsoft software,2021/7/10,neutral,0.022866357
90,"Microsoft's lead director says CEO Satya Nadella 'earned the right' to be chairman, too",2021/7/7,neutral,0.09563285
91,Microsoft ad airing during Tokyo Olympics shows Teams is more than a business app,2021/7/20,neutral,0.090291075
92,How Microsoft Windows came to dominate PC operating ...,2021/7/10,neutral,0.24129507
93,"Apple, Microsoft or Alphabet: Traders on which is the best ever megacap",2021/7/29,positive,0.9283741
94,"Google, Microsoft plan to spend billions on cybersecurity after meeting with Biden",2021/8/25,positive,0.7352501
95,"Following complaints, Microsoft will make Windows 11 compatible with more PC chips",2021/8/27,negative,-0.47965902
96,"Microsoft warns thousands of cloud customers of exposed databases, email shows",2021/8/26,neutral,0.016018659
97,Microsoft to launch cloud gaming service on Xbox consoles,2021/8/24,positive,0.67466223
98,How Microsoft made its Windows 11 system sounds less nerve-racking,2021/8/22,neutral,0.064531565
99,Microsoft hires former Amazon cloud executive Charlie Bell,2021/8/25,neutral,0.01741779
100,Microsoft stock hits fresh record after announcing Office 365 price hikes,2021/8/23,positive,0.52682287
101,"SoftBank dumps Microsoft, Facebook, Alphabet and Netflix ...",2021/8/10,neutral,0.0581903
102,A new Microsoft solar project shows how climate and racial equity are getting connected,2021/8/11,positive,0.83559924
103,Top Wall Street analysts think these stocks still have major upside after earnings,2021/8/29,neutral,0.11950385
104,"The crypto market topped $2 trillion for the first time since May, and 6 other key things that happened in crypto this past week",2021/8/16,positive,0.6687497
105,Microsoft exec Panos Panay explains how the company keeps PC makers happy while also competing with them,2021/10/5,positive,0.79391056
106,Microsoft unveils four Surface computers and a new folding phone,2021/9/22,neutral,0.3434626
107,The Microsoft Surface Pro 8 is more laptop than tablet — buy the keyboard with it,2021/10/5,positive,0.557224
108,Microsoft makes top lawyer Brad Smith its vice chair,2021/9/14,neutral,0.08294083
109,Microsoft CEO Satya Nadella calls Trump-driven Tiktok deal 'strangest thing' he's ever worked on,2021/9/27,negative,-0.6470367
110,Microsoft acquires video-editing software start-up Clipchamp,2021/9/7,neutral,0.13030289
111,Microsoft acquires Ally.io as productivity software gains importance in era of remote work,2021/10/7,neutral,0.03551915
112,Microsoft acquires learning marketplace start-up TakeLessons,2021/9/10,neutral,0.24305615
113,Microsoft launches new phone features for Teams in latest challenge to Zoom,2021/9/27,neutral,0.25379798
114,Bill Gates secures hundreds of millions from U.S. firms for climate fight,2021/9/20,positive,0.85755306
115,Microsoft's Satya Nadella says companies forcing employees back to the office amid rise in Covid delta cases are 'shortsighted',2021/9/9,neutral,-0.016774867
116,"Microsoft has a $20 billion hacking plan, but cybersecurity has a big spending problem",2021/9/8,negative,-0.8403454
117,FDIC teams up with Microsoft and Truist to create fund to invest in minority-owned banks,2021/9/15,neutral,0.36297524
118,"Stocks making the biggest moves premarket: Weber, Microsoft, Canadian National Railway and more",2021/9/15,neutral,0.034709617
119,"Biden touts employer vaccine mandates at meeting with top execs from Microsoft, Walgreens and others",2021/9/15,positive,0.6982405
120,Microsoft climate head says planting trees won't be enough to remove CO2 from the air,2021/9/30,neutral,-0.293259
121,"Cramer says investors have a 'huge buying opportunity' in Microsoft, but be cautious with Facebook",2021/10/5,positive,0.8040433
122,"Solarwinds hackers are targeting the global IT supply chain, Microsoft says",2021/10/25,neutral,-0.11569777
123,Microsoft to shut down LinkedIn website in China as internet censorship increases in the country,2021/10/14,neutral,-0.24747969
124,"Microsoft launches Loop, an Office app for helping workers stay on top of projects",2021/11/2,neutral,0.15461618
125,"Microsoft's new $1,500 folding phone is a huge improvement from last year",2021/10/21,negative,-0.56420636
126,Microsoft acquires Ally.io as productivity software gains importance in era of remote work,2021/10/7,neutral,0.03551915
127,Microsoft announces plan to cut cybersecurity workforce shortage in half by 2025,2021/10/28,positive,0.8930884
128,Microsoft president Brad Smith: Climate tech race like JFK ...,2021/11/3,neutral,0.08016914
129,"Microsoft's GitHub CEO Nat Friedman is stepping down, product chief Thomas Dohmke will replace him",2021/11/3,neutral,0.016993977
130,GitLab grew up in GitHub's shadow — now it's worth twice what Microsoft paid for its chief rival,2021/10/17,positive,0.6125435
131,Alphabet and Microsoft rise to records after quarterly earnings beat estimates,2021/10/27,positive,0.93107617
132,"Stocks making the biggest moves in the premarket: Robinhood, McDonald's, Microsoft & more",2021/10/27,positive,0.93059576
133,Cramer: Microsoft dethrones Apple as most valuable due to ...,2021/10/29,positive,0.9088389
134,"Wall Street analysts say buy Bank of America, Microsoft and ...",2021/11/6,negative,-0.93675935
135,"Microsoft moves to annual updates for Windows 10, halving the number of yearly upgrades for its users",2021/11/16,neutral,0.110488795
136,Microsoft announces $249 Surface laptop that runs a new version of Windows 11 for schools,2021/11/9,neutral,0.13973996
137,Microsoft Office prices going up 20% for some business clients unless they move from monthly to annual subscriptions,2021/12/6,positive,0.7413481
138,"Pentagon asks Amazon, Google, Microsoft and Oracle for bids on new cloud contracts",2021/11/19,negative,-0.6914807
139,Microsoft will change hiring practices after DOJ said company discriminated against immigrants,2021/12/7,negative,-0.6751528
140,"Zoom vs. Microsoft: 'I don't see why you would choose Zoom' at these levels, trader says",2021/11/29,positive,0.8336186
141,"Tesla, Nvidia and Microsoft are 'way ahead of themselves,' trader warns",2021/11/15,neutral,-0.1005469
142,"Invest in innovative companies like Apple and Microsoft, says ...",2021/12/6,neutral,0.06136606
143,Microsoft's Bing says it suspended auto suggest function in China at government's behest,2021/12/17,negative,-0.9490787
144,Jim Cramer says buy FAANG stocks and Microsoft as Covid omicron fears hit markets,2021/12/20,neutral,-0.003928691
145,Watch a young Bill Gates discuss Microsoft and Apple's rises in a 1994 employee orientation video,2022/1/2,neutral,0.054148376
146,Microsoft Is Increasing Xbox Series X+S Production To Handle Shortage,2021/1/5,neutral,0.09061405
147,What Was Microsoft Trying To Pull With Its Insta-Killed Xbox Live Gold Price Hike?,2021/1/24,positive,0.66356826
148,"Microsoft Partners With GM-Backed Cruise On Robotaxi Tech, Leads $2 Billion Funding Round",2021/1/19,positive,0.8333071
149,Microsoft Reverses Xbox Live Gold Price Increase Following Backlash,2021/1/23,positive,0.89630103
150,Microsoft's Surface Pro 7 Just Got A Major Upgrade - But You Probably Can't Buy It,2021/1/11,neutral,0.13011044
151,Microsoft's AI Chatbot Patent Resembles A Particularly Disturbing Episode Of ‘Black Mirror',2021/1/22,neutral,0.013433471
152,Microsoft Could Bring You Back From The Dead... As A Chat Bot,2021/1/4,neutral,0.07152019
153,Former Google And Microsoft Executive Joins CloudSphere ...,2021/1/26,neutral,-0.004605171
154,"If Microsoft Can Be Hacked, What About Your Company? How ...",2021/1/3,neutral,-0.057400327
155,Microsoft's First Xbox Series X Exclusive Just Got A Terrifying New Trailer,2021/1/14,neutral,0.01456387
156,Microsoft's Mesh Platform For Mixed Reality Puts Microsoft At The Forefront Of XR Collaboration,2021/3/3,positive,0.7211948
157,Microsoft May Have Just Slayed The Employee Experience ...,2021/2/4,positive,0.36277536
158,Microsoft Reportedly Tried To Buy Pinterest For $51 Billion,2021/2/11,positive,0.8885285
159,Microsoft Suspends Political Donations To Republicans Who Objected To Biden's Win,2021/2/5,negative,-0.8848084
160,Microsoft's Most Impactful Announcements At Ignite 2021,2021/3/4,neutral,0.4666771
161,Microsoft Issues Critical Update Warning As Chinese Hackers Attack Exchange Servers,2021/3/3,negative,-0.7749346
162,Microsoft Is Rapidly Expanding Its Presence In Healthcare,2021/2/27,neutral,0.011542525
163,Will Your PC Run The Next Version Of Windows 10? Microsoft Reveals All,2021/2/18,positive,0.70518124
164,Microsoft Sparks Anger With Hotmail And Outlook Announcements…And Other Small Business Tech News,2021/2/7,neutral,-0.4546015
165,Are You Ready For Microsoft's Future Workplace?,2021/2/24,neutral,0.20678906
166,Google Stadia Just Handed The Streaming War To Microsoft And xCloud,2021/2/2,neutral,-0.35209787
167,Game Changer: Microsoft PlayFab Levels-Up For Developers,2021/2/2,neutral,0.108741924
168,Microsoft Wins $22 Billion Army Contract For Augmented Reality Headsets,2021/3/31,positive,0.9136349
169,Warning: ‘Hundreds Of Thousands' Of Microsoft Servers Hacked In Ongoing Attack,2021/3/6,negative,-0.94070446
170,Why Wouldn't Microsoft Make Bethesda Games Xbox Exclusive?,2021/3/9,neutral,0.08133554
171,RIP Cortana: Microsoft Silences Digital Assistant On iOS And Android,2021/4/1,negative,-0.6235134
172,Microsoft's Remote Trend Index Draws From 2020 For A Better ...,2021/3/22,neutral,0.025442034
173,Microsoft Teams For Mac Might Be About To Get A Lot Faster,2021/3/29,positive,0.8933363
174,Intel And Microsoft Collaborate On DARPA Program That Pioneers A New Frontier Of Ultra-Secure Computing,2021/3/8,neutral,0.18105036
175,Microsoft's Most Impactful Announcements At Ignite 2021,2021/3/4,neutral,0.4666771
176,Microsoft Mesh: A New “Holoportation” & Mixed Reality Platform That May Disrupt Healthcare,2021/3/7,neutral,0.3602518
177,"Facebook, Microsoft, Uber: Major Tech Companies Make Plans To Soon Reopen Offices",2021/3/26,neutral,-0.014127962
178,Will Microsoft Viva Help Solve Our Productivity Problem?,2021/3/18,neutral,0.17477576
179,Azure Arc Becomes The Foundation For Microsoft's Hybrid And Multi-Cloud Strategy,2021/3/15,positive,0.8609538
180,Discord And Microsoft: How Do You Create Momentum?,2021/3/27,neutral,0.098296806
181,Microsoft's Percept Precept: Industrial IoT Shifts From ...,2021/3/16,neutral,0.16188557
182,This New Wireless Headset Is A Comfortable Listen And ...,2021/3/10,neutral,0.17350444
183,"Microsoft, Other Bidders Pursue An Acquisition Of Discord As The App's Founders Near Billionaire Status",2021/3/23,neutral,0.11757861
184,"Learn Excel With This Online Course Bundle, Which Is Currently 97% Off",2021/3/30,neutral,-0.0074169342
185,Microsoft's 'Warpath': The $19.7 Billion Buyout Of Nuance ...,2021/4/13,neutral,0.11656436
186,Microsoft Adopts Epic's 88-12 Revenue Split On PC In An Indirect Move Against Apple,2021/4/29,positive,0.9030321
187,Square Enix Denies Microsoft Or Sony Are Trying To Buy Them [Update],2021/4/16,neutral,0.3956388
188,Microsoft Nears $2 Trillion Market Value—Second Only To Apple In The U.S.,2021/4/26,negative,-0.926964
189,Microsoft Announces 'Doubling Down' On Prioritizing ...,2021/4/28,positive,0.82843375
190,British Reseller Sues Microsoft For £270m Over ‘Illegal' Software Licences,2021/4/8,negative,-0.9422493
191,Microsoft's Acquisition Of Nuance Seen Setting Tone Ahead Of Fiscal Q3 Earnings Report,2021/4/26,positive,0.87053585
192,Microsoft Word: Which Of These Will Be The New Default Font?,2021/4/28,neutral,0.11000281
193,Microsoft Teams And Zoom Hacked In $1 Million Competition,2021/4/8,negative,-0.9441564
194,Microsoft Announces Acquisition Of Nuance; Targets ...,2021/4/20,neutral,0.022033883
195,Why Microsoft Won The $22 Billion Army Hololens 2 AR Deal,2021/4/6,neutral,0.41143686
196,Microsoft Edge Gets Cool New Features And Fixes An Annoying Bug,2021/4/16,neutral,-0.1380953
197,New Microsoft Leak Promises Powerful Surface Pro,2021/4/28,neutral,0.124527976
198,Microsoft Unveils ‘Reading Progress' To Mark Teacher Appreciation Day,2021/5/4,positive,0.75915825
199,"Microsoft Surface Laptop 4: Fresh Leaks Claim To Show Price, Configs",2021/4/10,neutral,0.029963717
200,Microsoft's Acquisition Of Nuance Reaffirms Its Interest In Dominating The $11+ Trillion Healthcare Market,2021/4/19,positive,0.74508095
201,On CRM: Whatever Happened To LinkedIn's Integration With Microsoft Dynamics?,2021/4/5,neutral,0.1239557
202,Google Stock To Outpace Microsoft's In Post Pandemic Economy,2021/4/28,positive,0.9340313
203,Microsoft's Latest Move To Catch Apple In Windows 10 vs MacOS Fight,2021/5/2,positive,0.75921935
204,"Texas Business Leaders And Major Corporations—Including Microsoft, HP—Blast State's ‘Voter Suppression' Bills",2021/5/4,neutral,0.12990631
205,Microsoft Is Finally Killing Off Internet Explorer After 25 Years,2021/5/20,neutral,-0.096150406
206,"Microsoft Build And Power Platform - Navigating Change, And The Role Power Technology Can Play",2021/5/25,neutral,0.034431566
207,Microsoft Board Reportedly Investigated Bill Gates' Alleged Relationship With Female Staffer Before His Exit,2021/5/17,negative,-0.7111734
208,M & M: Mars Teams Up With Microsoft To Reimagine Digital Transformation,2021/5/13,neutral,0.14988877
209,Windows 11 Features: What Microsoft Must Deliver,2021/6/5,neutral,0.3201498
210,How Microsoft Advertising's MJ DePalma Is Helping ...,2021/5/26,neutral,0.08238368
211,Customer Stories Showcase Traction For Microsoft's Business Apps Division,2021/5/10,positive,0.94007266
212,Zoom Switches On Dazzling Feature To Beat Google Meet & Microsoft Teams,2021/5/26,positive,0.9054016
213,Pentagon Scraps Microsoft's $10 Billion Cloud Computing Deal After Lawsuit From Amazon,2021/7/6,negative,-0.94873875
214,Microsoft Is Already Building The Next Xbox Consoles And Streaming-Only Game Pass Hardware,2021/6/10,neutral,0.07849659
215,Why You Need To Start Worrying About Microsoft Windows 11 Now,2021/6/26,neutral,0.21199808
216,Microsoft In Surprise Move To Kill Windows 10 In 2025: New Version Coming Soon,2021/6/14,neutral,0.13532636
217,"Microsoft Withdraws Windows 11 Compatibility Checker, Issues Clarification",2021/6/29,negative,-0.90610707
218,Nadella's Appointment As Microsoft Chair Bucks Governance ...,2021/6/19,neutral,-0.23696765
219,Microsoft-Owned GitHub Is Trying To Read Software ...,2021/6/29,neutral,0.3928243
220,Microsoft Should Buy The ‘Metal Gear Solid' Franchise,2021/7/3,positive,0.90521556
221,Windows 11 Features: What Microsoft Must Deliver,2021/6/5,neutral,0.3201498
222,"Microsoft's Xbox E3 2021 Show: When And Where To Watch, What To Expect",2021/6/13,neutral,-0.15543519
223,Windows 11 Security Stink Reveals Massive Microsoft Ransomware Red Herring,2021/7/3,positive,0.5872958
224,The Microsoft And Sony First Party Arms Race Has Dueling Strategies,2021/7/1,neutral,0.0033915043
225,Learning From Microsoft's Imagine Cup Youth 2021,2021/6/28,neutral,0.13334475
226,NSA And FBI Blame Russia For Massive ‘Brute Force' Attacks On Microsoft 365,2021/7/1,negative,-0.7785151
227,Microsoft And Netflix Among Today's Trending Stocks,2021/6/7,positive,0.9017471
228,PyTorch Gains Momentum With Push From Facebook And Microsoft,2021/6/27,positive,0.6278873
229,"Building Games In The Cloud, Microsoft Azure Developers ...",2021/6/11,neutral,0.12193292
230,Microsoft Issues A Major Warning For ‘Cyberpunk 2077' Xbox Players,2021/6/26,positive,0.6860435
231,Pentagon Scraps Microsoft's $10 Billion Cloud Computing Deal After Lawsuit From Amazon,2021/7/6,negative,-0.94873875
232,"U.S., NATO And Allies Accuse China Of Hacking Microsoft",2021/7/19,neutral,0.04931067
233,Microsoft Supercharged The PC Industry. Now It Could Kill It.,2021/7/18,neutral,0.07213318
234,Microsoft Confirms New Windows 10 Login Bypass Threat: Here's The Fix,2021/7/16,positive,0.8344259
235,Microsoft Releases ‘Critical' PrintNightmare Update For All Windows Versions,2021/7/9,positive,0.6368773
236,Microsoft Announces Windows 365 Cloud Desktop At Its Inspire Partner Event,2021/7/23,neutral,0.18990758
237,Thoughts On Microsoft Windows 11 Preview Edition,2021/7/8,neutral,0.41306505
238,Security Researchers Issue New Windows 11 Warning,2021/7/30,neutral,0.14948082
239,Microsoft Accessibility Boss Jenny Lay-Flurrie Reflects On ...,2021/7/28,neutral,0.19231492
240,"Google, Facebook And Microsoft Are Working On AI Ethics ...",2021/7/11,neutral,-0.21014063
241,"Forget The Apple Macbook, Or Microsoft Surface, Say Goodbye To The Perfect Laptop",2021/7/10,neutral,0.11926215
242,Microsoft Has Only One Question To Answer At The Xbox's Gamescom Showcase,2021/8/24,negative,-0.74912506
243,Windows 11 Release Date: Microsoft Tweet Drops A Big Hint,2021/8/24,negative,-0.9401808
244,Warning: 'Extremely Serious' Microsoft Vulnerabilities Hacked ...,2021/8/23,negative,-0.8863356
245,Microsoft Is Running Out Of Ways To Say ‘Starfield' Is An Xbox Exclusive Not Coming To PlayStation,2021/8/31,neutral,0.043886047
246,Microsoft Is Raising Office 365 Prices By As Much As 25%—And Other Small Business Tech News,2021/8/22,neutral,0.19858806
247,What It Super Secure Mode In The Microsoft Edge Web Browser?,2021/8/8,neutral,0.1651745
248,Microsoft's Desktop Hinge Technology Coming To The Surface Book,2021/8/15,neutral,0.058337122
249,So What's Up With ‘Destiny 2' And Microsoft This Year?,2021/9/3,neutral,0.016338613
250,Visibility Is The Key To Managing Microsoft 365 For Enterprises,2021/8/12,neutral,0.03621261
251,Microsoft Unveils The Latest Surface Devices,2021/9/22,neutral,0.44149905
252,Windows 11 And Microsoft's Evolution Of Touch Based Computing,2021/10/4,neutral,0.08887521
253,Four New Microsoft Surface Computers Plus A Folding Phone ...,2021/9/26,neutral,0.01143209
254,Microsoft Takes First Steps To Finally Kill The Password,2021/9/20,neutral,0.029235266
255,"Microsoft, CISA, Confirm Windows 10 Zero-Day Attack: Can You Stop It?",2021/9/9,negative,-0.92731863
256,Crystal Dynamics Is On Loan To Microsoft For ‘Perfect Dark' Now,2021/9/24,neutral,0.034793656
257,New Microsoft Leak Reveals Stunning Surface Pro Upgrade,2021/9/20,neutral,0.055935908
258,Why You Should Be Skeptical Of The Microsoft Study Saying ...,2021/9/13,negative,-0.6888523
259,Microsoft Pushes PC Boundaries With Surface Laptop Studio,2021/10/5,neutral,0.21139723
260,Microsoft Says You Can Install Windows 11—Here's Why You Shouldn't,2021/9/12,neutral,-0.18066534
261,Project Maven: Amazon And Microsoft Scored $50 Million In ...,2021/9/8,neutral,0.20751019
262,Microsoft Surface Laptop 4: A Wonderfully Competent Computer,2021/9/8,neutral,0.13402747
263,Microsoft's LinkedIn Leaves China Following Charges Of Censorship,2021/10/14,negative,-0.94716406
264,"This Week In XR: Microsoft's Mesh Metaverse, Digilens, Sandbox, Haul In Big Rounds",2021/11/4,neutral,0.23136073
265,"Russia-Linked Hackers Are Targeting U.S. Computer Networks In Massive Operation, Microsoft Warns",2021/10/25,neutral,-0.17054477
266,"Microsoft Missed Its Xbox Game Pass Targets, Here's Why",2021/10/20,negative,-0.9216956
267,New Microsoft Leak Reveals Exciting Surface Hardware,2021/10/28,positive,0.48508602
268,Microsoft Warns Of ‘Moving Target' Password Attacks—Here's How To Stop Them,2021/11/7,neutral,-0.08530852
269,On CRM: Why Is Microsoft Ignoring Small Business CRM?,2021/10/20,neutral,0.010230094
270,Microsoft's Surface Pro X Delay Hides This Exciting Upgrade,2021/10/10,neutral,0.23213083
271,Microsoft Launches ‘Halo Infinite' Multiplayer Three Weeks Early For Xbox Anniversary,2021/11/15,positive,0.568305
272,Failed Microsoft Patch Leaves All Windows Versions Open To Zero-Day Hack,2021/11/29,neutral,0.063108034
273,"Microsoft Confirms Significant Windows MSI Problems, Windows 11 Driver BSOD",2021/11/22,neutral,0.3648783
274,"Microsoft Launches Privacy, Security And Trust Attacks On Chrome Browser",2021/12/5,negative,-0.66357887
275,Microsoft's Answer To The Student Chromebook Is The New Surface Laptop SE,2021/11/10,neutral,0.1986547
276,"To Understand The Future Of Diversification, Compare ...",2021/11/15,neutral,0.040539693
